,Country/Region,Province/State,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,Lat,Long,precipAccumulation
27053,US,New York,2020-03-01,Partly cloudy throughout the day.,partly-cloudy-day,1583062500.0,1583103120.0,0.23,0.0008,0.0026,1583038800.0,0.18,snow,32.16,1583092560,23.39,1583117700,25.14,1583107200,18.91,1583119380,13.24,0.72,1019.3,7.05,28.42,1583056560,289,0.42,3,1583084820,8.4,382.2,11.22,1583063580,32.16,1583092560,1.27,1583038800,25.29,1583108040,42.1657,-74.9481,0.28
27054,US,New York,2020-03-02,Clear throughout the day.,partly-cloudy-day,1583148840.0,1583189580.0,0.26,0.0014,0.0062,1583200800.0,0.17,snow,52.12,1583178240,38.01,1583235240,51.95,1583173260,35.29,1583232240,27.52,0.63,1011.2,8.86,27.52,1583179080,191,0.45,4,1583169420,10.0,359.8,26.53,1583125200,52.12,1583178240,19.72,1583138400,51.95,1583173260,42.1657,-74.9481,0.06
27055,US,New York,2020-03-03,Rain starting in the afternoon.,rain,1583235120.0,1583276040.0,0.29,0.0192,0.1062,1583289480.0,0.9,rain,50.72,1583254560,31.77,1583325840,50.22,1583254680,22.42,1583320560,39.95,0.89,1002.5,6.95,34.9,1583291820,202,0.87,3,1583253840,7.97,385.4,38.01,1583235240,50.72,1583254560,31.93,1583294400,50.22,1583254680,42.1657,-74.9481,
27056,US,New York,2020-03-04,Possible flurries (< 1 in.) in the morning.,snow,1583321400.0,1583362500.0,0.33,0.0049,0.0262,1583363520.0,0.64,snow,41.92,1583351160,27.14,1583407080,34.27,1583351340,18.55,1583396640,27.95,0.77,1006.6,12.57,38.04,1583311800,276,0.73,3,1583343720,9.017999999999999,390.2,30.72,1583380800,41.92,1583351160,22.42,1583320560,34.27,1583351340,42.1657,-74.9481,0.69
27057,US,New York,2020-03-05,Clear throughout the day.,partly-cloudy-day,1583407740.0,1583448960.0,0.36,0.0009,0.0027,1583398680.0,0.18,snow,43.4,1583438100,27.84,1583494380,40.36,1583438100,22.45,1583492340,22.73,0.67,1018.4,6.25,28.86,1583385300,301,0.41,4,1583428740,9.873,349.8,27.14,1583407080,43.4,1583438100,18.55,1583396640,40.36,1583438100,42.1657,-74.9481,0.16
27058,US,New York,2020-03-06,Mostly cloudy throughout the day.,partly-cloudy-day,1583494020.0,1583535480.0,0.4,0.002,0.0064,1583528340.0,0.24,snow,40.9,1583511120,20.47,1583581560,37.94,1583519220,8.99,1583584320,24.68,0.71,1013.3,5.6,23.43,1583550600,90,0.55,3,1583513160,9.918,387.7,27.84,1583494380,40.9,1583511120,22.45,1583492340,37.94,1583519220,42.1657,-74.9481,0.25
27059,US,New York,2020-03-07,Clear throughout the day.,clear-day,1583580300.0,1583621940.0,0.44,0.0013,0.0048,1583557200.0,0.18,snow,35.33,1583610540,21.75,1583650740,26.55,1583610600,16.36,1583655600,14.27,0.61,1025.0,10.39,28.84,1583585940,334,0.24,3,1583601060,9.277999999999999,410.5,20.47,1583581560,35.33,1583610540,8.99,1583584320,26.55,1583610600,42.1657,-74.9481,0.35
27060,US,New York,2020-03-08,Clear throughout the day.,clear-day,1583666640.0,1583708400.0,0.47,0.0007,0.0023,1583722020.0,0.01,snow,52.72,1583697660,34.74,1583748780,52.22,1583697720,31.01,1583747880,17.87,0.51,1027.9,6.8,25.31,1583684460,256,0.08,4,1583688240,10.0,350.0,21.75,1583650740,52.72,1583697660,16.36,1583655600,52.22,1583697720,42.1657,-74.9481,0.06
27061,US,New York,2020-03-09,Clear throughout the day.,clear-day,1583752920.0,1583794860.0,0.51,0.0008,0.0023,1583748240.0,0.01,rain,64.96,1583781540,42.96,1583832300,64.46,1583781540,40.54,1583837100,24.17,0.39,1024.1,7.65,26.35,1583766480,226,0.21,4,1583774040,10.0,341.3,34.74,1583748780,64.96,1583781540,31.01,1583747880,64.46,1583781540,42.1657,-74.9481,
27062,US,New York,2020-03-10,Light rain in the afternoon and evening.,rain,1583839200.0,1583881320.0,0.55,0.0086,0.0425,1583881380.0,0.74,rain,52.27,1583866500,28.3,1583926800,51.9,1583860740,22.29,1583926860,37.95,0.72,1015.9,9.36,34.09,1583861460,228,0.8,3,1583860620,9.389,347.7,39.11,1583895600,52.27,1583866500,31.89,1583895600,51.9,1583860740,42.1657,-74.9481,
27063,US,New York,2020-03-11,Partly cloudy throughout the day.,partly-cloudy-day,1583925540.0,1583967780.0,0.59,0.0009,0.0027,1583967600.0,0.09,rain,43.65,1583956620,32.38,1584003600,43.16,1583957040,29.2,1583994060,25.0,0.67,1019.8,5.77,29.0,1583899200,339,0.65,3,1583945940,9.846,392.5,28.3,1583926800,43.65,1583956620,22.29,1583926860,43.16,1583957040,42.1657,-74.9481,
27064,US,New York,2020-03-12,Possible light rain overnight.,partly-cloudy-day,1584011820.0,1584054240.0,0.63,0.0009,0.0058,1584068400.0,0.11,rain,47.29,1584032160,39.25,1584061860,42.09,1584031920,32.86,1584074040,29.49,0.7,1018.6,7.1,31.74,1584068400,166,0.71,3,1584032160,10.0,366.9,32.38,1584003600,47.29,1584032160,29.2,1583994060,42.09,1584031920,42.1657,-74.9481,
27065,US,New York,2020-03-13,Light rain in the morning and afternoon.,rain,1584098100.0,1584140760.0,0.67,0.0147,0.0456,1584093660.0,0.83,rain,50.07,1584125880,29.61,1584186900,44.01,1584125460,19.55,1584186240,35.75,0.77,1011.1,13.82,38.09,1584079140,226,0.65,3,1584120000,8.347999999999999,336.3,34.41,1584154800,50.07,1584125880,25.61,1584154800,44.01,1584125460,42.1657,-74.9481,
